Common Name,Male Body Mass,Female Body Mass,Body Mass,H/B Length ,Tail Length,Total Length,Nocturnal/Diurnal,Conservation,Locomotion
   Ambarijeby Mouse Lemur,,,0.0628,0.1247,0.161,0.2857,0,EN,Quadrupedal
   Ambodimahabibo Sportive Lemur,,,0.9385,0.284,0.253,0.537,0,EN,Vertical clinging and leaping
   Andean Night Monkey,,,1,0.4775,0.3325,0.81,0,EN,Quadrupedal/Suspensory
   Anjiamangirana Sportive Lemur,,,0.85975,0.3037,0.285,0.5887,0,EN,Vertical clinging and leaping
Ankarana Sportive Lemur,,,0.77,0.22,0.27,0.49,0,EN,Vertical clinging and leaping
Bioko Squirrel Galago,,,0.425,0.2355,0.2365,0.472,0,LC,Vertical clinging and leaping
Black Lion Tamarin,0.575,,0.615,0.275,0.385,0.66,1,EN,Quadrupedal/Vertical clinging and leaping
Black-faced Lion Tamarin,0.49,0.52,0.505,0.26275,0.34375,0.6065,1,EN,Quadrupedal/Vertical clinging and leaping
   Black-headed Night Monkey,0.875,1.04,0.9575,,,0,0,NT,Quadrupedal
   Black-tailed Marmoset,0.406,0.38,0.393,0.2259,0.32,0.5459,1,NT,Quarupedal/Vertical clinging and leaping
   Brumback’s Night Monkey,1.05,0.85,0.95,0.3435,,0.3435,0,VU,Quadrupedal
Crossley's Dwarf Lemur,,,0.4,0.264,0.2467,0.5107,0,DD,Quadrupedal
Demidoff’s Dwarf Galago,0.063,0.06,0.0615,0.115,0.1625,0.2775,0,LC,Quadrupedal/Suspensory
Eastern Pygmy Marmoset,,,0.1125,,,0,1,VU,Quarupedal/Vertical clinging and leaping
Fat-tailed Dwarf Lemur,0.2833,0.2822,0.28275,0.2124,0.1977,0.4101,0,LC,Quadrupedal
Gabon Squirrel Galago,,,0.264,0.195,0.255,0.45,0,LC,Quarupedal/Vertical clinging and leaping
Garnett’s Greater Galago,0.794,0.734,0.764,0.284,0.374,0.658,0,LC,Quadrupedal/Occasional Bipedalism
   Geoffroy's Saddle-back Tamarin,0.354,0.369,0.3615,0.2045,0.319,0.5235,1,LC,Quadrupedal/Vertical clinging and leaping/Suspensory
Golden Lion Tamarin,0.62,0.598,0.609,0.295,0.36,0.655,1,EN,Quarupedal/Vertical clinging and leaping
Golden-brown Mouse Lemur,0.0557,0.0624,0.049,0.1273,0.154,0.2813,0,EN,Quadrupedal
Golden-headed Lion Tamarin,0.62,0.535,0.5775,0.24,0.36,0.6,1,EN,Quarupedal/Vertical clinging and leaping
Gray Mouse Lemur,0.092,0.087,0.0895,0.1294,0.1439,0.2733,0,LC,Quadrupedal
Gray-Brown Mouse Lemur ,0.048,0.057,0.0525,0.1145,0.149,0.2635,0,LC,Quadrupedal/Suspensory
Gray's Sportive Lemur,,,0.615,0.23,0.27,0.5,0,VU,Vertical clinging and leaping
Greater Dwarf Lemur,0.438,0.362,0.4,0.27,0.25,0.52,0,DD,Quadrupedal
Hairy-eared Dwarf Lemur,0.092,0.084,0.088,0.1395,0.15325,0.29275,0,VU,Quadrupedal
Kenya Coast Dwarf Galago,0.1565,0.1365,0.293,0.1585,0.215,0.3735,0,LC,Quadrupedal
Ma’s Night Monkey,0.794,0.78,0.787,0.314,0.372,0.686,0,VU,Quadrupedal
   Madame Berthe's Mouse Lemur,,,0.0316,0.12275,0.1362,0.25895,0,EN,Quadrupedal
Manado Spectral Tarsier,0.125,0.108,0.1165,0.245,0.1825,0.4275,0,,Quarupedal/Vertical clinging and leaping
Masoala Fork-marked Lemur,,,0.46,,,0,0,VU,Quadrupedal
Milne-Edwards' Sportive Lemur,0.908,0.934,0.921,0.275,0.275,0.55,0,EN,Vertical clinging and leaping
Mountain Dwarf Galago,,,0.896,0.1315,0.184,0.3155,0,NT,Quarupedal/Vertical clinging and leaping
Mozambique Dwarf Galago,,,0.135,0.15,0.2265,0.3765,0,LC,Quarupedal/Vertical clinging and leaping
Northern Lesser Galago,0.271,0.2245,0.24775,0.171,0.249,0.42,0,LC,Quadrupedal/Vertical clinging and leaping
Northern Needle-clawed Galago,,,0.2645,0.181,0.29,0.471,0,NT,Quadrupedal/Vertical clinging and leaping/Suspensory
Nosy Be Sportive Lemur,,,0.88,0.23,0.247,0.477,0,CR,Vertical clinging and leaping
Pale Fork-marked Lemur,0.32763,0.35067,0.33915,0.2635,0.31755,0.58105,0,EN,Quadrupedal
   Panamanian Night Monkey,0.889,0.916,0.9025,,,0,0,NT,Quadrupedal
   Petter's Sportive Lemur,0.633,0.6,0.6165,0.2565,0.2335,0.49,0,VU,Vertical clinging and leaping
   Red-bellied Tamarin,0.477,0.529,0.503,0.245,0.34,0.585,1,LC,Quadrupedal/Vertical clinging and leaping/Suspensory
Red-tailed Sportive Lemur,0.761,0.779,0.77,0.3085,0.2435,0.552,0,VU,Vertical clinging and leaping
Rufous Mouse Lemur,0.0625,0.067,0.06475,0.114,0.1217,0.2357,0,VU,Quadrupedal
Sahafary Sportive Lemur,,,0.75,0.185,0.25,0.435,0,CR,Vertical clinging and leaping
Sahamalaza Sportive Lemur,0.691,0.787,0.739,0.2585,0.2655,0.524,0,CR,Vertical clinging and leaping
   Sateré Marmoset,0.47,0.4125,0.44125,0.21425,0.355,0.56925,1,LC,Quarupedal/Vertical clinging and leaping
Sibree's Dwarf Lemur,,,0.2622,0.22,0.237,0.457,0,CR,Quadrupedal
Small-toothed Sportive Lemur,0.97,,1.05,0.26,0.27,0.53,0,EN,Vertical clinging and leaping
Somali Lesser Galago,0.2,,0.2,0.165,0.249,0.414,0,LC,Quarupedal/Vertical clinging and leaping/Occasional Bipedalism
Southern Lesser Galago,0.187,0.173,0.18,0.1485,0.196,0.3445,0,LC,Quarupedal/Vertical clinging and leaping
Spectacled Lesser Galago,0.207,0.212,0.2095,0.19,0.2345,0.4245,0,LC,Quadrupedal
Spix’s Night Monkey,0.708,0.698,0.703,0.4,0.39,0.79,0,NT,Quadrupedal
   Spix's Saddle-back Tamarin,0.3075,0.3195,0.3135,0.23775,0.32025,0.558,1,LC,Quarupedal/Vertical clinging and leaping/Suspensory
Sulawesi Mountain Tarsier,0.0491,0.052,0.05055,0.1,0.195625,0.295625,0,,Vertical clinging and leaping
Tanzania Coast Dwarf Galago,0.149,0.147,0.148,0.1595,0.236,0.3955,0,LC,Quarupedal/Vertical clinging and leaping
Thick-tailed Greater Galago,1.19,1.11,1.15,0.455,0.425,0.88,0,LC,Quadrupedalism/Occasional Bipedalism
Thomas’s Dwarf Galago,0.103,0.13,0.1165,0.1445,0.1865,0.331,0,LC,Quadrupedal/Suspensory
Weasel Sportive Lemur,,,1,0.28,0.27,0.55,0,NT,Vertical clinging and leaping
Western Pygmy Marmoset,0.11,0.122,0.116,0.138,0.4019,0.5399,0,VU,Quarupedal/Vertical clinging and leaping
White-footed Sportive Lemur,0.617,0.594,0.631,0.236,0.24,0.476,0,EN,Vertical clinging and leaping
   Wright's Sportive Lemur,1.8,1.9,1.85,0.25,0.255,0.505,0,EN,Vertical clinging and leaping
Zombitse Sportive Lemur,,,0.99,0.235,0.24,0.475,0,EN,Vertical clinging and leaping
